"_id",library_id,word
5dac8edc2a6190092d608d90,2,Homer Simpson
5dac8edc2a6190092d608d93,2,Marge Simpson
5dac8edc2a6190092d608d96,2,Bart Simpson
5dac8edc2a6190092d608d99,2,Lisa Simpson
5dac8edc2a6190092d608d9c,3,Trump
5dac8edc2a6190092d608d9f,2,Ronald McDonald
5dac8edc2a6190092d608da2,3,Monsieur Propre
5dac8edc2a6190092d608da5,3,Chuck Norris
5dac8edc2a6190092d608da8,1,Extra-terrestre
5dac8edc2a6190092d608dab,2,Yéti
5dac8edc2a6190092d608dae,2,Bigfoot
5dac8edc2a6190092d608db1,3,Newton
5dac8edc2a6190092d608db4,3,Drawin
5dac8edc2a6190092d608db7,3,Pasteur
5dac8edc2a6190092d608dba,3,Marie Curie
5dac8edc2a6190092d608dbd,3,César
5dac8edc2a6190092d608dc0,2,Napoléon
5dac8edc2a6190092d608dc3,2,Hitler
5dac8edc2a6190092d608dc6,2,Astérix
5dac8edc2a6190092d608dc9,1,Mickey
5dac8edc2a6190092d608dcc,2,Pikachu
5dac8edc2a6190092d608dcf,2,Marsupilami
5dac8edc2a6190092d608dd2,2,Bob l'éponge
5dac8edc2a6190092d608dd5,2,Scooby-doo
5dac8edc2a6190092d608dd8,2,Caliméro
5dac8edc2a6190092d608ddb,2,Picsou
5dac8edc2a6190092d608dde,2,Schtroumph
5dac8edc2a6190092d608de1,2,Pyjamasques
5dac8edc2a6190092d608de4,2,San Goku
5dac8edc2a6190092d608de7,2,Tintin
5dac8edc2a6190092d608dea,1,PacMan
5dac8edc2a6190092d608ded,1,Super Mario
5dac8edc2a6190092d608df0,2,Link
5dac8edc2a6190092d608df3,1,Sonic
5dac8edc2a6190092d608df6,1,Squelette
5dac8edc2a6190092d608df9,2,Vampire
5dac8f072a6190092d608e04,1,Pirate
5dac8f072a6190092d608e07,2,Chevalier
5dac8f072a6190092d608e0a,2,Ninja
5dac8f072a6190092d608e0d,2,Barbapapa
5dac8f072a6190092d608e10,2,Bisounours
5dac8f072a6190092d608e13,1,Pere Noel
5dac8f072a6190092d608e16,2,Snoopy
5dac8f072a6190092d608e19,2,Obélix
5dac8f072a6190092d608e1c,2,Shrek
5dac8f072a6190092d608e1f,2,Bugs Bunny
5dac8f072a6190092d608e22,1,Les minions
5dac8f072a6190092d608e25,1,Titeuf
5dac8f072a6190092d608e28,2,Winni l'ourson
5dac8f072a6190092d608e2b,2,Dora
5dac8f072a6190092d608e2e,2,Stitch
5dac8f072a6190092d608e31,2,Cartman
5dac8f072a6190092d608e34,1,Tour Effel
5dac8f072a6190092d608e37,2,Sacré coeur
5dac8f072a6190092d608e3a,1,Sphinx
5dac8f072a6190092d608e3d,2,Machu Pichu
5dac8f072a6190092d608e40,2,Corcovado
5dac8f072a6190092d608e43,1,Statue de la  liberté
5dac8f072a6190092d608e46,2,Cité interdite
5dac8f072a6190092d608e49,1,Grande muraille de Chine
5dac8f072a6190092d608e4c,2,Grand canyon
5dac8f072a6190092d608e4f,1,Pyramide
5dac8f072a6190092d608e52,2,Disney Land
5dac8f072a6190092d608e55,2,Mont saint Michel
5dac8f072a6190092d608e58,2,Colisée
5dac8f072a6190092d608e5b,1,Aqueduc
5dac8f072a6190092d608e5e,2,Tondeuse
5dac8f072a6190092d608e61,1,Carafe
5dac8f072a6190092d608e64,1,Chaise
5dac8f072a6190092d608e67,1,Bureau
5dac8f072a6190092d608e6a,1,Porte
5dac8f072a6190092d608e6d,1,Serrure
5dac8f072a6190092d608e70,1,Etagere
5dac8f072a6190092d608e73,1,Planche à  repasser
5dac8f072a6190092d608e76,1,Sablier
5dac8f072a6190092d608e79,2,casse-noix
5dac8f072a6190092d608e7c,1,Parachute
5dac8f072a6190092d608e7f,1,Cheminée
